id,project_id,sdlc_method_id,duration_months,total_development_cost,additional_costs,status,created_at,last_updated_at
1,1,2,17,3250000000,250000000,archived,1/10/2015,1/12/2015
2,2,3,10,1250000000,100000000,archived,2/25/2015,3/2/2015
3,3,2,15,2850000000,220000000,archived,5/5/2015,5/8/2015
4,4,3,8,850000000,75000000,archived,6/25/2015,6/28/2015
5,5,1,12,1850000000,150000000,archived,8/25/2015,8/28/2015
6,6,4,6,450000000,40000000,archived,2/5/2015,2/8/2015
7,7,2,9,1650000000,120000000,archived,4/10/2015,4/12/2015
8,8,3,9,950000000,85000000,archived,5/25/2015,6/2/2015
9,9,2,9,1150000000,95000000,archived,7/25/2015,7/28/2015
10,10,1,9,850000000,70000000,archived,9/25/2015,9/28/2015
11,11,1,11,1950000000,160000000,archived,11/10/2015,11/12/2015
12,12,4,8,650000000,55000000,archived,11/25/2015,11/28/2015
13,13,2,12,2250000000,180000000,archived,1/5/2016,1/8/2016
14,14,3,12,1250000000,100000000,archived,2/10/2016,2/12/2016
15,15,1,12,1450000000,120000000,archived,2/25/2016,3/2/2016
16,16,4,8,550000000,45000000,archived,4/5/2016,4/8/2016
17,17,2,12,2850000000,230000000,archived,5/1/2016,5/3/2016
18,18,3,10,1150000000,95000000,archived,5/25/2016,6/2/2016
19,19,2,10,1250000000,100000000,archived,7/5/2016,7/8/2016
20,20,1,10,950000000,80000000,archived,7/25/2016,7/28/2016
21,21,2,12,2450000000,200000000,archived,9/10/2016,9/12/2016
22,22,4,10,1150000000,95000000,archived,9/25/2016,9/28/2016
23,23,3,10,1250000000,105000000,archived,11/5/2016,11/8/2016
24,24,2,10,1450000000,120000000,archived,11/25/2016,11/28/2016
25,25,1,10,1050000000,85000000,archived,1/10/2017,1/12/2017
26,26,4,8,850000000,70000000,archived,1/25/2017,1/28/2017
27,27,2,10,1950000000,160000000,archived,3/5/2017,3/8/2017
28,28,3,8,850000000,70000000,archived,3/25/2017,3/28/2017
29,29,2,8,950000000,80000000,archived,5/10/2017,5/12/2017
30,30,1,8,750000000,60000000,archived,5/25/2017,5/28/2017
31,31,2,10,2250000000,180000000,archived,7/5/2017,7/8/2017
32,32,4,8,1050000000,85000000,archived,7/25/2017,7/28/2017
33,33,2,10,2450000000,200000000,archived,9/10/2017,9/12/2017
34,34,3,8,1150000000,95000000,archived,9/25/2017,9/28/2017
35,35,1,10,1250000000,100000000,archived,11/5/2017,11/8/2017
36,36,4,8,550000000,45000000,archived,1/15/2015,1/18/2015
37,37,2,10,1950000000,160000000,archived,3/10/2015,3/12/2015
38,38,3,8,850000000,70000000,archived,4/25/2015,4/28/2015
39,39,2,9,950000000,80000000,archived,6/10/2015,6/12/2015
40,40,1,8,750000000,60000000,archived,7/25/2015,7/28/2015
41,41,2,10,2250000000,180000000,archived,9/15/2015,9/18/2015
42,42,4,8,950000000,80000000,archived,10/25/2015,10/28/2015
43,43,2,10,1950000000,160000000,archived,1/15/2016,1/18/2016
44,44,3,10,1150000000,95000000,archived,2/25/2016,2/28/2016
45,45,1,10,1050000000,85000000,archived,4/10/2016,4/12/2016
46,46,4,8,650000000,55000000,archived,5/25/2016,5/28/2016
47,47,2,10,2450000000,200000000,archived,7/15/2016,7/18/2016
48,48,3,8,950000000,80000000,archived,8/25/2016,8/28/2016
49,49,1,8,850000000,70000000,archived,10/10/2016,10/12/2016
50,50,4,8,750000000,60000000,archived,11/25/2016,11/28/2016
51,51,2,10,1850000000,150000000,archived,1/15/2017,1/18/2017
52,52,3,10,1250000000,100000000,archived,2/25/2017,2/28/2017
53,53,2,10,2250000000,180000000,archived,4/10/2017,4/12/2017
54,54,4,10,1150000000,95000000,archived,5/25/2017,5/28/2017
55,55,1,10,1450000000,120000000,archived,7/15/2017,7/18/2017
56,56,4,8,450000000,40000000,archived,1/25/2015,1/28/2015
57,57,2,10,2450000000,200000000,archived,4/5/2015,4/8/2015
58,58,3,8,850000000,70000000,archived,5/25/2015,5/28/2015
59,59,1,8,950000000,80000000,archived,7/10/2015,7/12/2015
60,60,4,8,750000000,60000000,archived,8/25/2015,8/28/2015
61,61,2,10,1950000000,160000000,archived,10/15/2015,10/18/2015
62,62,3,8,950000000,80000000,archived,11/25/2015,11/28/2015
63,63,2,10,1850000000,150000000,archived,2/10/2016,2/12/2016
64,64,4,10,1150000000,95000000,archived,3/25/2016,3/28/2016
65,65,1,10,1250000000,100000000,archived,5/15/2016,5/18/2016
66,66,4,8,650000000,55000000,archived,6/25/2016,6/28/2016
67,67,2,10,2850000000,230000000,archived,8/10/2016,8/12/2016
68,68,3,8,950000000,80000000,archived,9/25/2016,9/28/2016
69,69,1,10,1150000000,95000000,archived,11/15/2016,11/18/2016
70,70,4,8,850000000,70000000,archived,12/25/2016,12/28/2016
71,71,2,10,2150000000,175000000,archived,2/10/2017,2/12/2017
72,72,3,10,1350000000,110000000,archived,3/25/2017,3/28/2017
73,73,2,10,2350000000,190000000,archived,5/15/2017,5/18/2017
74,74,4,10,1250000000,100000000,archived,6/25/2017,6/28/2017
75,75,1,10,1450000000,120000000,archived,8/10/2017,8/12/2017
76,76,4,8,450000000,40000000,archived,3/10/2015,3/12/2015
77,77,2,8,1650000000,130000000,archived,4/25/2015,4/28/2015
78,78,3,8,850000000,70000000,archived,6/15/2015,6/18/2015
79,79,1,8,950000000,80000000,archived,7/25/2015,7/28/2015
80,80,4,8,750000000,60000000,archived,9/15/2015,9/18/2015
81,81,2,8,1450000000,120000000,archived,10/25/2015,10/28/2015
82,82,4,8,850000000,70000000,archived,12/10/2015,12/12/2015
83,83,2,10,1850000000,150000000,archived,12/25/2015,12/28/2015
84,84,4,8,650000000,55000000,archived,2/15/2016,2/18/2016
85,85,1,10,1250000000,100000000,archived,3/25/2016,3/28/2016
86,86,4,8,550000000,45000000,archived,5/10/2016,5/12/2016
87,87,2,10,2450000000,200000000,archived,6/25/2016,6/28/2016
88,88,3,10,1150000000,95000000,archived,8/15/2016,8/18/2016
89,89,1,8,850000000,70000000,archived,9/25/2016,9/28/2016
90,90,4,10,950000000,80000000,archived,11/10/2016,11/12/2016
91,91,2,8,1250000000,100000000,archived,12/25/2016,12/28/2016
92,92,3,8,950000000,80000000,archived,2/10/2017,2/12/2017
93,93,2,10,1950000000,160000000,archived,3/25/2017,3/28/2017
94,94,4,8,850000000,70000000,archived,5/15/2017,5/18/2017
95,95,1,10,1450000000,120000000,archived,6/25/2017,6/28/2017
96,96,4,8,650000000,55000000,archived,8/10/2017,8/12/2017
97,97,2,10,2650000000,215000000,archived,9/25/2017,9/28/2017
98,98,3,10,1150000000,95000000,archived,11/15/2017,11/18/2017
99,99,1,8,950000000,80000000,archived,12/10/2017,12/12/2017
100,100,4,10,1850000000,150000000,archived,12/15/2017,12/18/2017
101,101,6,15,2850000000,230000000,archived,1/10/2018,1/12/2018
102,102,6,12,3200000000,260000000,archived,1/25/2018,1/28/2018
103,103,2,12,3500000000,280000000,archived,3/5/2018,3/8/2018
104,104,3,9,1250000000,100000000,archived,3/25/2018,3/28/2018
105,105,6,12,3800000000,300000000,archived,5/10/2018,5/12/2018
106,106,2,14,4200000000,340000000,archived,5/25/2018,5/28/2018
107,107,1,9,1450000000,120000000,archived,7/5/2018,7/8/2018
108,108,6,12,3600000000,290000000,archived,7/25/2018,7/28/2018
109,109,8,12,3300000000,270000000,archived,9/10/2018,9/12/2018
110,110,9,9,1350000000,110000000,archived,9/25/2018,9/28/2018
111,111,3,9,1550000000,125000000,archived,11/5/2018,11/8/2018
112,112,6,12,4000000000,320000000,archived,11/25/2018,11/28/2018
113,113,4,9,1200000000,95000000,archived,1/10/2019,1/12/2019
114,114,7,12,3700000000,300000000,archived,1/25/2019,1/28/2019
115,115,3,9,1300000000,105000000,archived,3/5/2019,3/8/2019
116,116,2,12,4500000000,360000000,archived,3/25/2019,3/28/2019
