id,project_id,technology_type_id,tool_name,created_at
1,1,2,Java Spring Boot,1/10/2015
2,1,3,Oracle Database 12c,1/10/2015
3,1,4,Linux RHEL 7,1/10/2015
4,1,8,IBM Security,1/10/2015
5,1,10,Jenkins,1/10/2015
6,2,1,React.js,2/25/2015
7,2,2,Node.js,2/25/2015
8,2,3,MySQL 5.7,2/25/2015
9,2,10,GitLab,2/25/2015
10,3,4,AWS EC2,5/5/2015
11,3,3,Microsoft SQL Server 2014,5/5/2015
12,3,8,AWS IAM,5/5/2015
13,3,10,AWS CodeDeploy,5/5/2015
14,4,5,React Native,6/25/2015
15,4,2,Node.js,6/25/2015
16,4,3,MongoDB,6/25/2015
17,4,1,Redux,6/25/2015
18,5,1,React.js,8/25/2015
19,5,2,Python Django,8/25/2015
20,5,3,PostgreSQL,8/25/2015
21,5,7,FFmpeg,8/25/2015
22,6,5,Android Java,2/5/2015
23,6,3,SQLite,2/5/2015
24,7,4,AWS Redshift,4/10/2015
25,7,3,Amazon RDS,4/10/2015
26,7,10,AWS Glue,4/10/2015
27,8,2,Node.js,5/25/2015
28,8,1,Vue.js,5/25/2015
29,8,3,MySQL,5/25/2015
30,8,10,Docker,5/25/2015
31,9,4,Microsoft Office 365,7/25/2015
32,9,8,Azure AD,7/25/2015
33,10,2,Node.js,9/25/2015
34,10,1,React.js,9/25/2015
35,10,6,Socket.io,9/25/2015
36,11,2,Python,11/10/2015
37,11,3,Apache Spark,11/10/2015
38,11,4,AWS EMR,11/10/2015
39,11,9,Tableau,11/10/2015
40,12,5,React Native,11/25/2015
41,12,1,Redux,11/25/2015
42,12,3,GraphQL,11/25/2015
43,13,4,Docker,1/5/2016
44,13,10,Kubernetes,1/5/2016
45,13,8,Twistlock,1/5/2016
46,14,2,Java Spring Boot,2/10/2016
47,14,3,MySQL,2/10/2016
48,14,6,RabbitMQ,2/10/2016
49,15,2,Node.js,2/25/2016
50,15,3,PostgreSQL,2/25/2016
51,15,8,PCI DSS,2/25/2016
52,16,2,Node.js,4/5/2016
53,16,3,MongoDB,4/5/2016
54,16,1,React.js,4/5/2016
55,17,10,Salesforce,5/1/2016
56,17,3,Salesforce DB,5/1/2016
57,17,8,Salesforce Shield,5/1/2016
58,18,2,Java Spring Boot,5/25/2016
59,18,3,PostgreSQL,5/25/2016
60,18,1,Angular,5/25/2016
61,19,4,AWS S3,7/5/2016
62,19,8,AWS KMS,7/5/2016
63,20,2,Node.js,7/25/2016
64,20,1,React.js,7/25/2016
65,20,6,WebRTC,7/25/2016
66,21,2,Apache Spark,9/10/2016
67,21,3,Hadoop,9/10/2016
68,21,4,AWS EMR,9/10/2016
69,22,4,Kubernetes,9/25/2016
70,22,10,Helm,9/25/2016
71,22,3,Redis,9/25/2016
72,23,5,Flutter,11/5/2016
73,23,3,Firebase,11/5/2016
74,23,1,Dart,11/5/2016
75,24,4,Docker,11/25/2016
76,24,10,Kubernetes,11/25/2016
77,24,2,Java,11/25/2016
78,25,1,Vue.js,1/10/2017
79,25,2,Node.js,1/10/2017
80,25,3,MySQL,1/10/2017
81,26,4,VMware AirWatch,1/25/2017
82,26,8,MDM Security,1/25/2017
83,27,4,VMware Horizon,3/5/2017
84,27,8,VMware NSX,3/5/2017
85,28,2,Node.js,3/25/2017
86,28,1,React.js,3/25/2017
87,28,3,MongoDB,3/25/2017
88,29,4,Palo Alto Firewall,5/10/2017
89,29,8,GlobalProtect,5/10/2017
90,30,1,React.js,5/25/2017
91,30,2,Node.js,5/25/2017
92,31,2,Python,7/5/2017
93,31,9,TensorFlow,7/5/2017
94,31,3,PostgreSQL,7/5/2017
95,32,5,React Native,7/25/2017
96,32,6,Square API,7/25/2017
97,33,4,AWS IoT Core,9/10/2017
98,33,6,MQTT,9/10/2017
99,33,3,Timestream,9/10/2017
100,34,4,Azure Blob Storage,9/25/2017
101,34,10,Azure Data Factory,9/25/2017
102,35,8,PCI DSS,11/5/2017
103,35,2,Node.js,11/5/2017
104,36,2,Python,1/15/2015
105,36,9,Dialogflow,1/15/2015
106,37,4,Docker Swarm,3/10/2015
107,37,10,Portainer,3/10/2015
108,38,2,Node.js,4/25/2015
109,38,6,Socket.io,4/25/2015
110,39,4,Ansible,6/10/2015
111,39,10,AWX,6/10/2015
112,40,2,Python,7/25/2015
113,40,9,Pandas,7/25/2015
114,41,10,Salesforce,9/15/2015
115,41,6,REST API,9/15/2015
116,42,5,React Native,10/25/2015
117,42,2,Node.js,10/25/2015
118,43,4,Azure IoT Hub,1/15/2016
119,43,6,MQTT,1/15/2016
120,44,2,Java,2/25/2016
121,44,10,Spring Cloud,2/25/2016
122,45,9,Google Analytics,4/10/2016
123,45,2,Python,4/10/2016
124,46,2,Python,5/25/2016
125,46,9,TensorFlow,5/25/2016
126,47,4,Jenkins,7/15/2016
127,47,10,Docker,7/15/2016
128,48,1,Angular 2,8/25/2016
129,48,2,Node.js,8/25/2016
130,49,8,Zscaler,10/10/2016
131,49,4,Cloud Proxy,10/10/2016
132,50,9,Power BI,11/25/2016
133,50,2,Python,11/25/2016
134,51,4,Kubernetes,1/15/2017
135,51,2,Java,1/15/2017
136,52,5,Flutter,2/25/2017
137,52,3,SQLite,2/25/2017
138,53,4,AWS Kinesis,4/10/2017
139,53,2,Python,4/10/2017
140,54,4,Docker,5/25/2017
141,54,10,Kubernetes,5/25/2017
142,55,4,Apache Kafka,7/15/2017
143,55,2,Java,7/15/2017
144,56,2,Python,1/25/2015
145,56,9,Rasa,1/25/2015
146,57,4,GitLab CI,4/5/2015
147,57,10,Docker,4/5/2015
148,58,1,Vue.js,5/25/2015
149,58,2,Node.js,5/25/2015
150,59,8,CrowdStrike,7/10/2015
151,60,2,Node.js,8/25/2015
152,60,1,React.js,8/25/2015
153,60,3,MongoDB,8/25/2015
154,61,2,Python,10/15/2015
155,61,9,Scikit-learn,10/15/2015
156,62,5,React Native,11/25/2015
157,62,2,Node.js,11/25/2015
158,63,4,MQTT Broker,2/10/2016
159,63,6,IoT Protocol,2/10/2016
160,64,4,Kubernetes,3/25/2016
161,64,10,Helm,3/25/2016
162,65,9,Tableau,5/15/2016
163,65,2,Python,5/15/2016
164,66,2,C#,6/25/2016
165,66,9,Bot Framework,6/25/2016
166,67,4,Travis CI,8/10/2016
167,67,10,Docker,8/10/2016
168,68,2,Node.js,9/25/2016
169,68,1,Express.js,9/25/2016
170,69,8,Duo Security,11/15/2016
171,70,2,Node.js,12/25/2016
172,70,1,Meteor.js,12/25/2016
173,71,2,Python,2/10/2017
174,71,9,IBM Watson,2/10/2017
175,72,5,Ionic,3/25/2017
176,72,1,Angular,3/25/2017
177,73,4,Google Cloud IoT,5/15/2017
178,73,6,MQTT,5/15/2017
179,74,4,Istio,6/25/2017
180,74,10,Kubernetes,6/25/2017
181,75,9,Mixpanel,8/10/2017
182,75,2,Python,8/10/2017
183,76,2,Python,3/10/2015
184,76,9,Amazon Lex,3/10/2015
185,77,4,CircleCI,4/25/2015
186,77,10,Docker,4/25/2015
187,78,1,Ember.js,6/15/2015
188,78,2,Node.js,6/15/2015
189,79,8,Cloudflare WAF,7/25/2015
190,80,1,Backbone.js,9/15/2015
191,80,2,Node.js,9/15/2015
192,81,4,Kong API Gateway,10/25/2015
193,81,2,Node.js,10/25/2015
194,82,5,Xamarin,12/10/2015
195,82,1,C#,12/10/2015
196,83,4,Hadoop,12/25/2015
197,83,2,Java,12/25/2015
198,84,4,Prometheus,2/15/2016
199,84,10,Grafana,2/15/2016
200,85,4,ELK Stack,3/25/2016
201,85,2,Java,3/25/2016
202,86,5,Unity,5/10/2016
203,86,1,C#,5/10/2016
204,87,4,Linkerd,6/25/2016
205,87,10,Kubernetes,6/25/2016
206,88,1,Magento,8/15/2016
