id,allocation_id,role,quantity,expertise_level_id,avg_salary,created_at,last_updated_at
1,1,Project Manager,1,5,35000000,2015-01-10,2015-01-12
2,1,Backend Developer,3,4,18000000,2015-01-10,2015-01-12
3,1,Frontend Developer,2,3,15000000,2015-01-10,2015-01-12
4,1,Database Administrator,2,4,16000000,2015-01-10,2015-01-12
5,1,DevOps Engineer,1,4,17000000,2015-01-10,2015-01-12
6,1,QA Engineer,2,3,12000000,2015-01-10,2015-01-12
7,2,Project Manager,1,4,28000000,2015-02-25,2015-03-02
8,2,Fullstack Developer,2,3,14000000,2015-02-25,2015-03-02
9,2,UI/UX Designer,1,3,11000000,2015-02-25,2015-03-02
10,2,QA Engineer,1,2,9000000,2015-02-25,2015-03-02
11,3,Project Manager,1,5,36000000,2015-05-05,2015-05-08
12,3,Cloud Architect,1,5,25000000,2015-05-05,2015-05-08
13,3,System Administrator,2,4,16000000,2015-05-05,2015-05-08
14,3,Database Administrator,1,4,17000000,2015-05-05,2015-05-08
15,3,Network Engineer,1,4,15000000,2015-05-05,2015-05-08
16,4,Project Manager,1,4,26000000,2015-06-25,2015-06-28
17,4,Mobile Developer,2,3,16000000,2015-06-25,2015-06-28
18,4,Backend Developer,1,3,14000000,2015-06-25,2015-06-28
19,4,UI/UX Designer,1,3,10000000,2015-06-25,2015-06-28
20,5,Project Manager,1,4,27000000,2015-08-25,2015-08-28
21,5,Frontend Developer,2,3,13000000,2015-08-25,2015-08-28
22,5,Backend Developer,1,3,14000000,2015-08-25,2015-08-28
23,5,Content Developer,2,2,8000000,2015-08-25,2015-08-28
24,6,Project Manager,1,3,22000000,2015-02-05,2015-02-08
25,6,Mobile Developer,1,2,12000000,2015-02-05,2015-02-08
26,7,Project Manager,1,4,25000000,2015-04-10,2015-04-12
27,7,Data Engineer,1,4,18000000,2015-04-10,2015-04-12
28,7,Cloud Engineer,1,3,15000000,2015-04-10,2015-04-12
29,8,Project Manager,1,4,24000000,2015-05-25,2015-06-02
30,8,Fullstack Developer,2,3,13500000,2015-05-25,2015-06-02
31,8,QA Engineer,1,2,8500000,2015-05-25,2015-06-02
32,9,Project Manager,1,4,23000000,2015-07-25,2015-07-28
33,9,System Administrator,1,3,14000000,2015-07-25,2015-07-28
34,9,Network Engineer,1,3,13000000,2015-07-25,2015-07-28
35,10,Project Manager,1,3,20000000,2015-09-25,2015-09-28
36,10,Fullstack Developer,2,3,12500000,2015-09-25,2015-09-28
37,11,Project Manager,1,5,34000000,2015-11-10,2015-11-12
38,11,Data Scientist,2,4,20000000,2015-11-10,2015-11-12
39,11,Data Engineer,2,3,16000000,2015-11-10,2015-11-12
40,11,BI Analyst,1,3,14000000,2015-11-10,2015-11-12
41,12,Project Manager,1,4,25000000,2015-11-25,2015-11-28
42,12,Mobile Developer,2,3,14500000,2015-11-25,2015-11-28
43,12,Backend Developer,1,3,13500000,2015-11-25,2015-11-28
44,13,Project Manager,1,5,35000000,2016-01-05,2016-01-08
45,13,DevOps Engineer,2,4,19000000,2016-01-05,2016-01-08
46,13,System Administrator,1,3,15000000,2016-01-05,2016-01-08
47,13,Container Specialist,1,4,18000000,2016-01-05,2016-01-08
48,14,Project Manager,1,4,26000000,2016-02-10,2016-02-12
49,14,Backend Developer,2,3,14500000,2016-02-10,2016-02-12
50,14,Frontend Developer,1,3,13000000,2016-02-10,2016-02-12
51,15,Project Manager,1,4,24000000,2016-02-25,2016-03-02
52,15,Backend Developer,2,3,14000000,2016-02-25,2016-03-02
53,15,Security Specialist,1,4,17000000,2016-02-25,2016-03-02
