id,name,type_project,scale,start_date,end_date,status_project,created_at,last_updated_at
1,Legacy Banking System Modernization,software_development,high,2015-01-15,2016-06-15,success,2015-01-10,2015-01-12
2,Internal HR Portal v2,software_development,medium,2015-03-01,2015-12-31,success,2015-02-25,2015-03-02
3,ERP System Cloud Migration,infrastructure_improvements,high,2015-05-10,2016-08-10,delayed,2015-05-05,2015-05-08
4,Mobile Inventory Management App,software_development,medium,2015-07-01,2016-03-01,success,2015-06-25,2015-06-28
5,Online Learning Platform v2,software_development,medium,2015-09-01,2016-09-01,partial,2015-08-25,2015-08-28
6,Mobile Sales Tracking App v2,software_development,low,2015-02-10,2015-08-10,failed,2015-02-05,2015-02-08
7,Data Warehouse to AWS Cloud,infrastructure_improvements,medium,2015-04-15,2016-01-15,delayed,2015-04-10,2015-04-12
8,CRM System Cloud Edition,software_development,medium,2015-06-01,2016-03-01,success,2015-05-25,2015-06-02
9,Email Server Migration to Office 365,infrastructure_improvements,medium,2015-08-01,2016-05-01,success,2015-07-25,2015-07-28
10,Slack-like Collaboration Tool,software_development,medium,2015-10-01,2016-07-01,cancelled,2015-09-25,2015-09-28
11,Cloud-Based Analytics Platform,data_analytics,high,2015-11-15,2016-11-15,success,2015-11-10,2015-11-12
12,Mobile Dashboard with React Native,software_development,medium,2015-12-01,2016-08-01,delayed,2015-11-25,2015-11-28
13,Docker Containerization Project,infrastructure_improvements,high,2016-01-10,2017-01-10,success,2016-01-05,2016-01-08
14,HR System Microservices Architecture,software_development,medium,2016-02-15,2017-02-15,partial,2016-02-10,2016-02-12
15,Payment Gateway with Node.js,software_development,medium,2016-03-01,2017-03-01,success,2016-02-25,2016-03-02
16,Document Management with MongoDB,software_development,medium,2016-04-10,2016-12-10,failed,2016-04-05,2016-04-08
17,CRM Migration to Salesforce,crm_implementation,high,2016-05-05,2017-05-05,delayed,2016-05-01,2016-05-03
18,ERP with Spring Boot Framework,software_development,medium,2016-06-01,2017-04-01,success,2016-05-25,2016-06-02
19,Email Archiving with AWS S3,infrastructure_improvements,medium,2016-07-10,2017-05-10,success,2016-07-05,2016-07-08
20,Remote Work Tool with WebRTC,software_development,medium,2016-08-01,2017-06-01,cancelled,2016-07-25,2016-07-28
21,Big Data Platform with Apache Spark,data_analytics,high,2016-09-15,2017-09-15,success,2016-09-10,2016-09-12
22,Cloud Inventory with Kubernetes,infrastructure_improvements,medium,2016-10-01,2017-08-01,delayed,2016-09-25,2016-09-28
23,Mobile Loyalty App with Flutter,software_development,medium,2016-11-10,2017-09-10,success,2016-11-05,2016-11-08
24,Legacy System Containerization,infrastructure_improvements,high,2016-12-01,2017-10-01,partial,2016-11-25,2016-11-28
25,E-commerce Platform with Vue.js,software_development,medium,2017-01-15,2017-11-15,success,2017-01-10,2017-01-12
26,Enterprise Mobility Management,software_development,medium,2017-02-01,2017-10-01,failed,2017-01-25,2017-01-28
27,VDI with VMware Horizon,infrastructure_improvements,high,2017-03-10,2018-01-10,delayed,2017-03-05,2017-03-08
28,Customer Feedback Portal,software_development,medium,2017-04-01,2017-12-01,success,2017-03-25,2017-03-28
29,Network Security with Palo Alto,infrastructure_improvements,medium,2017-05-15,2018-01-15,success,2017-05-10,2017-05-12
30,Social Collaboration with React,software_development,medium,2017-06-01,2018-02-01,cancelled,2017-05-25,2017-05-28
31,AI Customer Analytics Platform,ai_ml_project,high,2017-07-10,2018-05-10,success,2017-07-05,2017-07-08
32,Mobile Payment with Square API,software_development,medium,2017-08-01,2018-04-01,delayed,2017-07-25,2017-07-28
33,IoT Platform with AWS IoT Core,iot_implementation,high,2017-09-15,2018-07-15,success,2017-09-10,2017-09-12
34,Legacy Data Migration to Azure,infrastructure_improvements,medium,2017-10-01,2018-06-01,partial,2017-09-25,2017-09-28
35,Payment Security with PCI DSS,security_compliance,medium,2017-11-10,2018-09-10,success,2017-11-05,2017-11-08
36,Chatbot with Dialogflow,ai_ml_project,medium,2015-01-20,2015-09-20,failed,2015-01-15,2015-01-18
