id,project_id,risk_type_id,description,impact_level,likelihood,mitigation_plan,status,created_at,last_updated_at
1,1,3,Integration delays with core banking system legacy.,high,high,Phase deployment and extensive testing.,mitigated,1/20/2015,3/15/2015
2,1,5,Risk of customer data leakage in the new system.,high,medium,Implementation of encryption and periodic security audits.,mitigated,2/10/2015,4/1/2015
3,1,2,The cost of software licensing exceeds the budget.,medium,high,Negotiate vendors and look for open source alternatives.,mitigated,3/1/2015,5/10/2015
4,1,10,Scope creep of the business division.,medium,medium,Change control board and documentation requirements.,mitigated,4/15/2015,6/20/2015
5,1,13,Core system vendor dependencies.,medium,low,Create a contingency plan with a backup vendor.,mitigated,5/5/2015,7/1/2015
6,1,7,The system's performance does not meet the SLA.,high,medium,Load testing and performance tuning.,mitigated,6/10/2015,8/15/2015
7,2,3,Delay in the development of payroll modules.,medium,medium,Agile sprint and daily standup.,mitigated,3/10/2015,5/20/2015
8,2,5,Risk of unauthorized access to employee salary data.,high,medium,RBAC implementation and audit trail.,mitigated,4/1/2015,6/10/2015
9,2,10,Request additional features from HR.,medium,high,Prioritization matrix and sprint planning.,mitigated,5/15/2015,7/25/2015
10,2,12,Waste of resources on minor features.,low,medium,Value-based prioritization.,mitigated,6/20/2015,8/30/2015
11,3,2,The cost of cloud infrastructure is swelling.,high,high,Cost monitoring and auto-scaling configuration.,mitigated,5/15/2015,8/1/2015
12,3,3,Migration ERP data timeout.,high,medium,Data migration in batches and monitoring.,mitigated,6/1/2015,9/10/2015
13,3,7,Performance degradation after migration.,medium,high,Performance testing pre-production.,mitigated,7/10/2015,10/5/2015
14,3,13,Vendor cloud support response slow.,medium,low,Service level agreement and escalation matrix.,mitigated,8/5/2015,11/1/2015
15,4,3,Mobile app development delays.,medium,high,Cross-platform framework and parallel development.,mitigated,7/5/2015,9/15/2015
16,4,5,Data inventory exposed di mobile.,medium,medium,API security and mobile device management.,mitigated,8/1/2015,10/10/2015
17,4,10,Integration requests with other systems.,low,medium,API gateway design.,mitigated,9/10/2015,11/20/2015
18,5,2,Content development costs exceed estimates.,medium,high,Fixed price contract with content vendors.,mitigated,9/1/2015,12/15/2015
19,5,7,Buffered video streaming on a slow network.,medium,medium,Adaptive bitrate streaming.,mitigated,10/5/2015,1/20/2016
20,5,10,Additional features of the product owner.,medium,high,MoSCoW prioritization.,mitigated,11/10/2015,2/28/2016
21,5,14,Streaming technology is becoming obsolete.,low,low,Choose industry standard technology.,mitigated,12/1/2015,3/15/2016
22,6,3,The development timeline is too optimistic.,high,high,Revised timeline with buffers.,mitigated,2/15/2015,4/30/2015
23,6,2,Budget development is not enough.,high,high,Scope reduction and MVP approach.,mitigated,3/1/2015,5/15/2015
24,6,12,The developer team is less experienced.,medium,high,Hiring consultant and pair programming.,mitigated,4/10/2015,6/25/2015
25,7,3,Migration of timeout data.,medium,medium,Data migration strategy and rollback plan.,mitigated,4/20/2015,7/10/2015
26,7,2,Cloud storage costs are swelling.,medium,high,Data archiving policy and compression.,mitigated,5/15/2015,8/1/2015
27,7,13,Vendor cloud lock-in.,low,medium,Multi-cloud strategy planning.,mitigated,6/10/2015,9/5/2015
28,8,3,Integration with third party APIs.,medium,medium,API mocking and fallback mechanism.,mitigated,6/5/2015,8/20/2015
29,8,5,Customer PII exposure data.,high,medium,Data masking and anonymization.,mitigated,7/1/2015,9/15/2015
30,8,10,Scope change from the sales team.,medium,high,Change request process.,mitigated,8/10/2015,10/25/2015
31,9,3,Email migration data corruption.,high,low,Incremental migration and validation.,mitigated,8/5/2015,10/15/2015
32,9,2,Microsoft 365 license fees.,medium,medium,Volume discount negotiation.,mitigated,9/1/2015,11/10/2015
33,9,7,Email delivery delay.,low,medium,Monitoring and Alert System.,mitigated,10/10/2015,12/20/2015
34,10,3,Real-time collaboration performance.,medium,high,WebRTC optimization and load balancing.,mitigated,10/1/2015,12/30/2015
